Academy,General Location,Specific Location,Observation
N/A,Cafeteria,Column,Below Average
Allied Health and Human Services Academy,Environmental Tech,Tank,Above Average
IT and Business Services Academy,Culinary Arts,Bakery sink,Below Average
IT and Business Services Academy,Hospitality Management,Bar table,Below Average
Allied Health and Human Services Academy,Cosmetology,Hair comb,Below Average
Coughlin Construction Academy,Plumbing,Handle,Average
Alden Academy,Advanced Manufacturing,Start button,Below Average
Coughlin Construction Academy,Carpentry,Hand saw,Average
Alden Academy,Auto Collision,Car hood,Below Average
Alden Academy,Welding,Gloves,None
Coughlin Construction Academy,Electrical,Ladder,Below Average
Coughlin Construction Academy,Painting & Design,Bench,Average
Allied Health and Human Services Academy,Allied Health,Pulse oxymeter,Below Average
Allied Health and Human Services Academy,Veterinary Assisting,Dog bowl,Above Average
N/A,First Floor Elevator,Button,Below Average
N/A,Water Fountain,N/A,Average
IT and Business Services Academy,Hospitality Management,Clean Class,Below Average
N/A,Front Door,Front Door,Average
N/A,First Floor Elevator,First Floor Elevator,Below Average
Allied Health and Human Services Academy,Cosmetology,Sink,Average
Coughlin Construction Academy,Plumbing,Pipes Head,Above Average
N/A,Water Fountain,Water Fountain,Below Average
Alden Academy,Welding,Helmet,Below Average
Allied Health and Human Services Academy,Allied Health,Sethoscope,Below Average
N/A,Cafeteria,Pin Pad,Below Average
Allied Health and Human Services Academy,Early Childhood,Clean Tables,Average
Allied Health and Human Services Academy,Early Childhood,Playdoh tables,Average
IT and Business Services Academy,Culinary Arts,dish window ,Above Average
IT and Business Services Academy,Hospitality Management,drink dispenser,Below Average
N/A,First Floor Elevator,outside,Above Average
Allied Health and Human Services Academy,Cosmetology,countertop,Above Average
Coughlin Construction Academy,Plumbing,scaffolding,Above Average
Alden Academy,Auto Technology,car 3 to the right ,Above Average
Alden Academy,Welding,steel,Below Average
N/A,Railing,blue part ,Average
Coughlin Construction Academy,Electrical,table top workbench,Above Average
Coughlin Construction Academy,Painting & Design,ruler ,Below Average
Allied Health and Human Services Academy,Allied Health,head lab #2,Below Average
Allied Health and Human Services Academy,Veterinary Assisting,water bowl,Above Average
N/A,Cafeteria,before cleanup,Average
Allied Health and Human Services Academy,Early Childhood,N/A,Below Average
N/A,Cafeteria,Table,Below Average
Allied Health and Human Services Academy,Environmental Tech,Fish Tank,Above Average
IT and Business Services Academy,Culinary Arts,Counter,Average
IT and Business Services Academy,Hospitality Management,Cup,Average
Allied Health and Human Services Academy,Cosmetology,N/A,Below Average
Coughlin Construction Academy,Plumbing,N/A,Average
Alden Academy,Auto Technology,N/A,Average
Alden Academy,Welding,N/A,Below Average
Coughlin Construction Academy,Electrical,Pipe Bender,Average
Coughlin Construction Academy,Painting & Design,N/A,Spore Colonies
Alden Academy,Hvac/R,Handle,Below Average
Alden Academy,Robotics & Automation Technology,N/A,Below Average
IT and Business Services Academy,Information Support Services & Networking,N/A,Below Average
Allied Health and Human Services Academy,Allied Health,N/A,Average
N/A,Railing,N/A,Average
Allied Health and Human Services Academy,Early Childhood,N/A,Average
N/A,Front Door,N/A,Below Average
N/A,Stage,N/A,Above Average
N/A,Water Fountain,N/A,Below Average
N/A,Railing,N/A,Average
Alden Academy,Auto Technology,Tire,Above Average
Coughlin Construction Academy,Painting & Design,Sink,Above Average
N/A,Gym,Bleachers,Average
N/A,Water Fountain,N/A,Average
N/A,Gym,Excercise mat,Average
N/A,Locker,N/A,Below Average
Allied Health and Human Services Academy,Environmental Tech,Table,Average
N/A,Cafeteria,Table,Average
IT and Business Services Academy,Hospitality Management,Bistro door handle,Below Average
N/A,Lobby,Piano,Average
Allied Health and Human Services Academy,Cosmetology,Countertop,Below Average
